x3,y3
4.013094168,6.952896641
4.008470521,6.809142748
4.015405991,6.789975562
4.010782344,6.770808376
4.075513398,6.349130289
4.091696162,6.032871724
4.077825222,6.128707653
4.024653284,6.368297475
3.948363113,6.282045139
3.978416817,5.937035795
4.089384338,6.205376396
4.193416389,5.726196751
4.186480919,5.419521779
4.195728213,5.438688965
4.179545449,5.486606929
4.258147443,5.975370166
4.274330207,6.876227898
4.2142228,7.920839523
4.244276503,8.946283962
4.246588327,9.751305765
4.209599153,10.25923619
4.181857273,11.29426422
4.156427216,12.37721022
4.140244452,13.45057262
4.140244452,14.57185299
4.107878925,15.6356318
4.068577928,16.63232546
4.068577928,17.66735349
4.121749865,18.70238152
4.121749865,19.90033063
4.174921803,20.93535867
4.22809374,21.81704921
4.239652857,22.94791317
4.211910976,23.86793809
4.209599153,23.94460683
4.24890015,23.81043653
4.253523797,23.88710528
4.22809374,23.96377402
4.339061261,24.05960995
4.681211118,24.16502947
4.739006702,24.92213331
4.780619522,25.82299104
4.757501289,26.86760266
4.727447585,27.86429632
4.824544166,28.44889549
4.771372229,29.7905985
4.697393882,31.1323015
4.630351004,32.44525373
4.597985477,33.36527864
4.584114537,34.52489338
4.602609124,35.46408549
4.556372657,36.43202837
4.549437187,37.05496191
4.535566246,37.90790167
4.487017956,38.66500551
4.505512543,39.70003354
4.676587471,40.31338349
4.930888041,40.6967272
5.152823083,40.6967272
5.464919236,40.95548421
5.737714393,41.26215918
6.024380489,41.54008338
6.39658405,41.61675212
6.736422083,41.59758493
7.00921724,41.70300446
7.316689746,41.79884039
7.612603136,41.9138435
7.917763819,41.97134506
8.209053563,42.09593176
8.546579773,42.14384973
8.830934046,42.17260051
9.161524786,42.23968566
9.443567236,42.32593799
9.757975213,42.39302314
10.06775954,42.54636063
10.30818917,42.60386219
10.5879198,42.77636686
10.93006966,42.91053716
11.24216581,42.9967895
11.51264914,43.19804495
11.79006794,43.2555465
12.09985227,43.2651301
12.36571196,43.29388088
12.48361495,43.3897168
12.49286225,43.35138243
12.51135683,43.2555465
12.5182923,43.23637932
12.57146424,43.32263165
12.57146424,43.32263165
12.57146424,43.32263165
12.57146424,43.32263165
12.58071153,43.15012698
12.71710911,43.27471369
13.03614073,43.2651301
13.37135512,43.56222148
13.70194586,43.667641
14.09495583,43.69639178
14.45328845,43.82097848
14.8046856,43.77306052
15.20463104,43.79222771
15.57914643,43.84972926
15.99296281,43.91681441
16.38597278,43.94556519
16.79054187,44.16598783
17.24597107,44.73141981
17.66903474,44.77933777
18.07822748,44.90392448
18.46430198,44.84642292
18.80876366,45.2872682
19.22489186,45.4118549
19.51618161,45.46935646
19.86526693,45.45977287
20.26983602,45.5556088
20.65591052,45.83353299
21.06279143,45.97728688
21.32865112,45.9581197
21.69391921,45.90061814
22.03838089,45.97728688
22.38053075,46.00603766
22.69031508,46.01562126
23.06483046,46.24562749
23.46246408,46.42771575
23.84391493,46.54271887
24.2461722,46.75355791
24.59525753,46.92606258
24.95590197,47.10815085
25.33041735,47.32857348
25.70493274,47.21357037
26.0378353,47.18481959
26.36611422,47.28065552
26.67358672,47.10815085
26.98568288,47.34774067
27.29084356,47.18481959
27.63761706,47.28065552
28.00288516,47.45316019
28.39820695,47.41482582
28.73342134,47.64483205
29.11024854,47.76941876
29.41540923,47.88442187
29.75987091,48.27734918
30.06503159,48.59360774
30.27309569,48.39235229
30.49271891,47.60649768
30.60831008,47.41482582
30.74470766,46.84939384
30.75164313,46.00603766
