x1 (long),y1 (lat),x2,y2,x3,y3,x4,y4
3.624939026,2.512818056,86.56830629,71.05754948,4.013094168,6.952896641,86.49432794,73.67387033
3.609218627,2.54731899,86.52206982,68.4699794,4.008470521,6.809142748,86.15217808,73.43428051
3.586331576,2.763908189,86.15217808,73.64511956,4.015405991,6.789975562,86.11750073,73.43428051
3.573385365,2.753366237,86.12905985,73.26177584,4.010782344,6.770808376,86.11750073,73.43428051
3.600896063,2.747616081,86.01346868,73.74095548,4.075513398,6.349130289,86.11750073,73.43428051
3.51258441,2.985289185,86.05970515,74.89098663,4.091696162,6.032871724,86.14293079,73.24260865
3.556509054,2.700656476,85.96723222,75.84934592,4.077825222,6.128707653,86.18916726,73.08927117
3.596734781,3.244046193,85.71293165,76.23268964,4.024653284,6.368297475,86.04814603,73.01260242
3.679960422,2.874119507,85.64357695,76.80770521,3.948363113,6.282045139,85.86782381,72.70592745
3.569455265,3.485552734,85.55110401,76.90354114,3.978416817,5.937035795,85.70137253,72.21716421
3.445310351,3.798936221,85.36615814,77.19104892,4.089384338,6.205376396,85.51411484,72.00632517
3.39676206,4.129570176,85.29680344,77.67022857,4.193416389,5.726196751,85.12572851,70.52086827
3.606675621,0,85.15809404,78.34108007,4.186480919,5.419521779,84.73734219,69.74459725
3.015311206,3.866979731,85.08873934,79.20360343,4.195728213,5.438688965,84.32121398,69.04499497
3.366708357,4.089319086,84.88067524,80.06612679,4.179545449,5.486606929,84.19868735,68.08663568
3.42149857,5.08122095,84.90379347,80.06612679,4.258147443,5.975370166,83.57911869,69.64876132
3.754863498,5.774114716,84.60325643,80.44947051,4.274330207,6.876227898,83.44272111,69.66792851
3.850341803,6.406631846,84.39519233,80.44947051,4.2142228,7.920839523,83.34100088,69.33250276
3.825374111,6.675930807,84.25648293,80.64114236,4.244276503,8.946283962,83.27164618,69.09291293
3.85797082,6.870477742,84.2333647,81.21615794,4.246588327,9.751305765,83.19304419,69.11208012
3.842250421,6.88676985,84.2333647,81.21615794,4.209599153,10.25923619,82.61508835,68.73832
3.909524481,6.918395707,84.2333647,81.21615794,4.181857273,11.29426422,81.99089604,68.22080598
3.867449296,6.998897887,84.27960116,81.12032201,4.156427216,12.37721022,81.57707966,67.87579664
3.857508455,6.912645551,84.3027194,81.02448608,4.140244452,13.45057262,81.01993023,67.32953184
