x1 (long),y1 (lat)
3.624939026,2.512818056
3.609218627,2.54731899
3.586331576,2.763908189
3.573385365,2.753366237
3.600896063,2.747616081
3.51258441,2.985289185
3.556509054,2.700656476
3.596734781,3.244046193
3.679960422,2.874119507
3.569455265,3.485552734
3.445310351,3.798936221
3.39676206,4.129570176
3.606675621,0
3.015311206,3.866979731
3.366708357,4.089319086
3.42149857,5.08122095
3.754863498,5.774114716
3.850341803,6.406631846
3.825374111,6.675930807
3.85797082,6.870477742
3.842250421,6.88676985
3.909524481,6.918395707
3.867449296,6.998897887
3.857508455,6.912645551
3.857508455,6.912645551
3.857508455,6.912645551
4.05493817,6.897311802
4.056325264,6.857060712
4.04892743,6.823518137
3.997373769,6.958646797
3.989513569,6.948104845
4.021647914,6.912645551
3.989744752,6.892520006
3.99945441,6.829268293
3.996449039,6.817767981
3.954836219,6.673055729
3.955529766,6.7113901
3.926169609,6.683597681
3.908830934,6.721932052
3.883632059,6.741099238
3.848492344,6.746849394
3.83022894,6.689347837
3.750239852,6.582969955
3.76989035,6.713306819
3.850110621,6.692222914
3.860513826,6.837893526
3.921083598,6.966313671
3.971481347,6.952896641
3.989282387,6.979730701
3.928019068,6.999856246
3.957841589,7.041065696
3.909293299,6.874311179
3.846874068,6.814892903
3.834621404,6.741099238
3.883169695,6.794767358
3.852191262,6.768891658
3.852191262,6.768891658
3.823524652,6.614595812
3.846642886,6.606928938
3.846642886,6.606928938
3.846642886,6.606928938
3.846642886,6.606928938
4.024884467,6.878144616
4.011244709,6.808184388
4.011244709,6.808184388
4.011244709,6.808184388
4.011244709,6.808184388
4.011244709,6.808184388
3.922008327,6.702764867
3.894728812,6.655805261
3.93911582,6.618429249
3.924320151,6.649096746
3.950674937,6.835976808
3.914148128,6.769850017
3.914148128,6.769850017
3.814739723,6.691264555
3.764341974,6.63088792
3.764341974,6.63088792
3.764341974,6.63088792
3.813583812,6.807226029
3.849417074,6.834060089
3.820750464,6.706598304
3.808728983,6.85993579
