x1,y1
3.809523809,0
2.857142857,0
1.904761904,1.307189542
1.904761904,2.614379085
4.761904762,0.6535947714
5.714285713,0
5.714285713,0
4.761904762,0
2.857142857,0
2.857142857,0
2.857142857,1.307189542
0.9523809513,28.75816993
0,31.37254902
0,31.37254902
2.857142857,30.06535948
1.904761904,32.67973856
0,32.02614379
10.47619048,18.30065359
7.619047619,22.87581699
12.38095238,20.91503268
13.33333333,21.56862745
13.33333333,21.56862745
40,20.26143791
82.85714286,18.95424837
92.38095238,15.68627451
55.23809524,16.33986928
32.38095238,22.22222222
27.61904762,23.52941176
28.57142857,23.52941176
29.52380952,23.52941176
6.666666666,26.79738562
3.809523809,22.22222222
4.761904762,25.49019608
36.19047619,23.52941176
20,22.22222222
20,22.22222222
73.33333333,18.95424837
9.523809523,100
10.47619048,98.69281046
40.95238095,75.81699346
46.66666667,79.73856209
48.57142857,76.47058824
39.04761905,57.51633987
49.52380952,63.39869281
88.57142857,24.18300654
100,20.91503268
77.14285714,27.45098039
22.85714286,6.535947713
8.571428572,1.960784314
2.857142857,0
2.857142857,0
2.857142857,0
2.857142857,0
2.857142857,0
2.857142857,0
2.857142857,0
